Preferred Prefix	Alt-prefix	Provider Base URI	Alternative Base URI	MIRIAM	BiodbcoreID	BioPortal Ontology ID	identifiers.org	Abbreviation	Title	Description	PubMed ID	Organization	Type (warehouse, dataset or terminology)	Keywords	Homepage	Functional?	sub-namespace in dataset	part of collection	License URL	License Text	Rights	ID regex	ExampleID	Provider HTML URL		MIRIAM checked	MIRIAM curator notes	MIRIAM coverage	updates	year last accessible	wayback url	last updated	last updated by	last updated by (orcid)
lncrna	lncrnadb							lncrna	Long non-coding RNA database	database providing comprehensive annotations of eukaryotic long non-coding RNAs (lncRNAs).	21112873	 University of Queensland	dataset	transcript	http://lncrnadb.com/									http://lncrnadb.com/Detail.aspx?TKeyID=$id										
locate								LOCATE	Mammalian Protein Localization Database	LOCATE is a curated database that houses data describing the membrane organization and subcellular localization of proteins from the RIKEN FANTOM4 mouse and human protein sequence set. 		Australian Research Council		protein	http://locate.imb.uq.edu.au/							^\d+$	6000263	http://locate.imb.uq.edu.au/cgi-bin/report.cgi?entry=$id				curation						
locsvmpsi								LOCSVMpsi	LOCSVMPSI: subcellular localization for eukayotic proteins based on SVM and PSI-BLAST	LOCSVMpsi is a high performance method for eukaryotic subcellular localization, which uses the evolutionary information of a protein sequence to improve prediction performance.		USTC		protein	http://bioinformatics.ustc.edu.cn/locsvmpsi/locsvmpsi.php									N/A			-404	omitted						
loinc	lnc	https://loinc.org/				1350		LOINC	Logical Observation Identifier Names and Codes	Logical Observation Identifier Names and Codes (LOINC);Version 2.26;January 2, 2009			terminology		http://loinc.org/downloads								34067-9	https://loinc.org/$id				curation						
lola								LOLA	LOLA																		no resolving url	omitted						
loqate								LoQate	The localization and quantitation atlas of the yeast proteome	The data presented here is a result of systematically tracking the localization and abundance of 5330 yeast proteins at single-cell resolution under three different stress conditions (DTT, H2O2 and nitrogen starvation) using the GFP-tagged yeast library	24150937	Weizmann	dataset		http://www.weizmann.ac.il/molgen/loqate/				http://www.weizmann.ac.il/molgen/loqate/downloads	All data are fully available for download		^\d+	1001	http://www.weizmann.ac.il/molgen/loqate/gene/view/$id										
loxdb								LOX-DB	LOX-DB																		no resolving url	omitted						
lpfc								LPFC	A Library of Protein Family Cores	This library is useful for building models, threading, and exploratory analysis. It is also a useful mechanism for summarizing variability in NMR structures.		Helix Research, Stanford School of Medicine 		structure, protein	http://helix-web.stanford.edu/LPFC/							PDBID	1mba	http://helix-web.stanford.edu/cgi-bin/textsearch.cgi?key=$id			-404	omitted						
lsm		http://purl.obolibrary.org/lsm/	http://purl.obofoundry.org/lsm/, http://purl.obolibrary.org/lsm/, http://purl.org/obo/owl/LSM#, http://identifiers.org/obo.lsm/			1520		LSM	Leukocyte Surface Markers	An ontology of CD markers for lymphocyte classification in the cell ontology, and other categories of surface and secreted proteins useful for discriminating between lymphocyte subsets by flow cytometry, ELISPOT, ELISA and other assays typically used for phenotypic identification of individual lymphocytes or lymphocyte populations have been included.			terminology	obo														omitted						
lsmd								Lowe Syndrome Mutation Database	Lowe Syndrome Mutation Database	Lowe oculocerebrorenal syndrome is an X-linked disorder caused by mutations in the OCRL1 gene, which encodes a 105-kDa Golgi protein with phosphatidylinositol (4,5) bisphosphate 5-phosphatase activity. This database of mutations causing Lowe syndrome has been established.		NHGRI	dataset	DNA, gene, protein	http://research.nhgri.nih.gov/lowe/							^\d+$	15	http://research.nhgri.nih.gov/lowe/db_retrieval.cgi?site_name=lowe&exon_intron_num=$id			phased into LOVD http://www.ncbi.nlm.nih.gov/lovd/home.php	omitted						
lspd								LSPD	The Liver Specific Gene Promoter Database	Contains annotated liver specific gene promoters including transcription factor binding sites, regulatory factors, composite sites, as well as several analysis tools.		Cold Spring Harbor Laboratory		gene, regulation, small molecule	http://rulai.cshl.edu/LSPD/									N/A			not linkable	omitted						
lsr	registry							LSR	The Life Science Resource Registry	The Resource Registry is a curated collection of datasets and terminologies used in the life sciences			dataset	registry									uniprot				not linkable?	omitted						
lsr.dataset	registry.dataset								The Life Science Resource Registry - Dataset	The Resource Registry is a curated collection of datasets and terminologies used in the life sciences. This refers to the named datasets			dataset	registry			lsrr				attribution		uniprot				not linkable?	omitted						
lumbribase								LumbriBASE	LumbriBASE - Earthworm Genomics	The database is being developed by the Worm Consortium and provides a simple easy-to-use access point to the publically available Lumbricus rubellus sequence and functional data, as well as a research tool for both Earthworm biology and environmental pollution monitoring.		Worm Consortium		anatomy	http://www.earthworms.org									N/A			data incorrect see http://xyala2.bio.ed.ac.uk/Lumbribase/lumbribase_information/redundancy.shtml	omitted						
m3d								M3D	M3D	Many Microbe Microarrays Database				gene expression													no resolving url	omitted						
ma		http://purl.obolibrary.org/obo/MA_	http://purl.obofoundry.org/ma/,http://purl.obolibrary.org/ma/,http://purl.org/obo/owl/MA#,http://identifiers.org/obo.ma/			1000		MA	Mouse adult gross anatomy	A structured controlled vocabulary of the adult anatomy of the mouse (Mus).		JAX	terminology	obo, anatomy, mouse	http://www.informatics.jax.org/searches/AMA_form.shtml							^MA:\d+$	MA:0000021					omitted						
machibase								MachiBase	MachiBase	MachiBaseprovides a comprehensive and freely accessible resource regarding Drosophila melanogaster 5'-end mRNA transcription at different developmental states, supporting studies on the variabilities of promoter transcriptional activities and gene-expression profiles in the fruitfly.				RNA, regulation, gene expression	http://machibase.gi.k.u-tokyo.ac.jp/									N/A			only seems to have links to flybase presented on a genome browser? also broken internal links	omitted						
macie				MIR:00000077	biodbcore-000057			MACiE	MACiE	MACiE is an electronic database of well-characterised enzymatic reactions. MACiE is the result of more than three years' collaboration between the Mitchell and Murray-Rust groups in the Unilever Centre and Prof. Janet Thornton at the European Bioinformatics Institute. The database contains the reaction mechanisms for 100 individual enzymes; this includes the overall reactions and the multiple steps that constitute them. 	17082206	EBI		enzyme, pathway	http://www.ebi.ac.uk/thornton-srv/databases/MACiE/			ebi	http://www.ebi.ac.uk/Information/termsofuse.html	The public databases of the EBI are freely available by any individual and for any purpose		^M\d{4}$	M0001	http://www.ebi.ac.uk/thornton-srv/databases/cgi-bin/MACiE/getPage.pl?id=$id		x								
magest								MAGEST	MAboya Gene Expression patterns and Sequence Tags	MAGEST is a database of maternal gene expression information for an Ascidian, Halocynthia roretzi. The ascidian has become an animal model in developmental biological research because it shows the simple developmental process and belongs to the one of chordate groups. 				gene expression	http://magest.hgc.jp/							^\d+$	11102	http://magest.hgc.jp/db/show_contig_by_entry_id/$id			under construction since 2006	omitted						
mailto								mailto	mailto namespace																									
maizegdb	maizegdb.locus, maizegdb_qtl			MIR:00000177				MaizeGDB	Maize Genetics and Genomics Database	MaizeGDB is the maize research community's central repository for genetics and genomics information.	18769488	MaizeGDB Working Group		genome, DNA	http://www.maizegdb.org							^\d+$	25011	http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=$id		x								
malaria								Malaria	Malaria Parasite Metabolic Pathways	A database for Malaria biology, biochemistry and physiology.  It contains numerous metabolic pathways.				pathway	http://sites.huji.ac.il/malaria/									http://sites.huji.ac.il/malaria/maps/$id.html				omitted						
malisam								MALISAM	MALISAM: Manual ALIgnments of Structurally Analogous Motifs	MALISAM is a database of pairwise, structure-based alignments for structurally analogous motifs in proteins.		University of Texas		protein	http://prodata.swmed.edu/malisam							[a-z, 0-9]+_	d1a7j__d1kafa_	http://prodata.swmed.edu/malisam/[$id1][$id2]/[$id1][$id2].html			not linkable (multiple ids!)	omitted						
mamep								MAMEP	Molecular Anatomy of the Mouse Embryo Project	The project is aiming to create a comprehensive information resource for the functional analysis of pattern formation, tissue development and organogenesis. 		Mamep		anatomy	http://mamep.molgen.mpg.de/												no resolving url	omitted						
mamit	mamit-trna							Mamit-tRNA	Mamit-tRNA	Mamit-tRNA is a database for mammalian mitochondrial genomes, has been developed for deciphering structural features of mammalian mitochondrial tRNAs and as a helpful tool in the frame of human diseases linked to point mutations in mitochondrial tRNA genes	17585048		dataset	rna, trna	http://mamit-tRNA.u-strasbg.fr							^\d+$	7	http://mamit-trna.u-strasbg.fr/mutations.asp?idAA=$id										
mammibase								MamMiBase	Mammalian Mitochondrial Genomics Database	MamMibase, the Mammalian Mitochondrial Genome Database, is a relational database of complete mitochondrial genome sequences of over 100 Mammalian species. The database is useful for phylogenetic analysis, since it allows ready retrieval of nucleotide and amino acid alignments of 13 protein coding mitochondrial genes, based on their parameters values (sequence length, p-distances, base content, transition transversion ratio, gamma).		MammiBase		genome, DNA, protein	http://xavante.fmrp.usp.br/mammibase/									N/A			tool that gives a job id and calculates results on the fly. Not linkable 	omitted						
mampol								MamPol	Mammalia Polymorphism Database	The Mammalia Polymorphism Database is a secondary database designed to provide a collection of all the existing polymorphic sequences in the MammaliaOnline query interfaces facilitate data interrogation by different polymorphism parameter values and keyword queries (based on SQL searches).		Genomics, Bioinformatics and Evolution Group		DNA	http://mampol.uab.es							MAMpol\d+	MAMpol005339	http://mampol.uab.es/cgi-bin/MamPol_s2.pl?Accession=$id				curation						
mao		http://purl.obolibrary.org/obo/MAO_				1026		MAO	Multiple Alignment Ontology	An ontology for data retrieval and exchange in the fields of multiple DNA/RNA  alignment, protein sequence and protein structure alignment.		MAO	terminology	obo, sequence, alignment	http://bips.u-strasbg.fr/LBGI/MAO/mao.html							^MAO_\d+$	MAO:0000061					omitted						
mapper								MAPPER	MAPPER																		no resolving url	omitted						
mapper2					biodbcore-000057			MAPPER-2	Putative transcription factor binding sites in various genomes 						http://genome.ufl.edu/mapperdb														MAPPER already in table (), but not MAPPER-2					
